ACT_STAT,CENSUS_NUM,CARSHIP,NAME,NAME_DBA,ICC_DOCKET_1_PREFIX,ICC1,ICC_DOCKET_2_PREFIX,ICC2,ICC_DOCKET_3_PREFIX,ICC3,MAI_STR,MAI_CITY,MAI_ST,MAI_ZIP,PHY_STR,PHY_CITY,PHY_ST,PHY_ZIP,EMAILADDRESS,TEL_NUM,OWNTRUCK
A,696651,C,HANSON AGGREGATES BMC INC,,,,,,,,5804 CHERRY VALLEY ROAD,STROUDSBURG,PA,18360,852 SWAMP ROAD,PENNS PARK,PA,18943,,2155983152,1
A,724211,C,TOPE CONSTRUCTION INC,,,,,,,,PO BOX 2656,CODY,WY,82414-2656,28 PEARSON AVE,CODY,WY,82414,,3075876201,4
A,804154,C,TUCKER DEDICATED TRANSPORT LLC,,MC,357890,,,,,16281 MARCUM ROAD,TUSCALOOSA,AL,35406,16281 MARCUM ROAD,TUSCALOOSA,AL,35406,tuckerdedicated@earthlink.net,2057580600,0
A,886966,C,VREDENBURG INC,,,,,,,,3245 W 2400 S,SALT LAKE CITY,UT,84119,3245 W 2400 S,SALT LAKE CITY,UT,84119,,8019736860,1
A,2229272,B,BADGER SUNSET TRANSPORT LLC,,MC,432371,,,,,W7759 CTY N,VAN DYNE,WI,54979,W7759 CTY N,VAN DYNE,WI,54979,,9209221995,0
A,2238331,B,ADAMS BROTHERS LOGISTICS LLC,,MC,591169,,,,,8337 NW 106TH,OKLAHOMA CITY,OK,73162,8337 NW 106TH,OKLAHOMA CITY,OK,73162,,4052097952,0
A,2272769,C,PERRY STREET AUTO,,,,,,,,440 N PADDOCK,PONTIAC,MI,48342,440 N PADDOCK,PONTIAC,MI,48342,,2483382366,1
A,2296791,C,H & W PRINTING INC,,,,,,,,1724 SANDS PLACE,MARIETTA,GA,30067,1724 SANDS PLACE,MARIETTA,GA,30067,BARRYF@HWPRINTING.COM,7709519800,2
A,2317305,C,EDISON LANDSCAPE AND DECK LIGHTING LLC,,,,,,,,9883 SOUTH AVE,POLAND,OH,44514,9883 SOUTH AVENUE,POLAND,OH,44514,edisonlandscapelighting@yahoo.com,2347593096,2
A,2337789,C,RUDDY MEATS INC,,,,,,,,14001 LAKE CITY WAY NE,SEATTLE,WA,98125,14001 LAKE CITY WAY NE,SEATTLE,WA,98125,,2063612544,4
A,2340676,C,ARTIS WIMBLEY,WIMBLEYS TRUCKING,,,,,,,1422 WEDGEWOOD AVE,ODESSA,TX,79761,1422 WEDGEWOOD AVE,ODESSA,TX,79761,,4323858471,0
A,2364003,C,MARTIN CARNAHAN,,MC,896150,,,,,418 FIR,HEREFORD,TX,79045,418 FIR,HEREFORD,TX,79045,bigdogdaddy36@gmail.com,8065706501,0
A,2841351,CS,NRBJV TRANSPORTING LLC,,MC,951622,,,,,3020I PROSPERITY CHURCH RD 511,CHARLOTTE,NC,28269,3020I PROSPERITY CHURCH RD SUITE 511,CHARLOTTE,NC,28269,NRBJV1@GMAIL.COM,7049410409,0
A,2865575,C,EDWIN E SANDOVAL BALMACEDA,NATIONWIDE TRUCKING TRANSPORTATION,,,,,,,P O BOX 26338,LOS ANGELES,,90026,2532 MAYFIELD AVE,MONTROSE,CA,91020,,3109303360,1
A,2941326,CI,HARALD G STEUDTE,,,,,,,,56 TUCKAHOE LN,SOUTHAMPTON,NY,11968-3228,56 TUCKAHOE LN,SOUTHAMPTON,NY,11968-3228,HGSTEUDTE@HOTMAIL.COM,6312832011,1
A,2947030,C,WILLIS FREIGHT MANAGEMENT LLC,,,,,,,,5206 EVANDERS WAY APT 305,CHARLOTTE,NC,28216,5206 EVANDERS WAY  APT 305,CHARLOTTE,NC,28216,TWILLIS001@GMAIL.COM,5515748720,0
A,2961907,C,ECONOMIC TRUCKING COMPANY LLC,,,,,,,,719 ADOWA SPRING LOOP,SPRING,TX,77373-4601,719 ADOWA SPRING LOOP,SPRING,TX,77373-4601,OLGA_VALENZUELA@ATT.NET,8329558700,7
A,2976561,C,M2M-MACHINING INC,,,,,,,,730 PERKINS DRIVE,MUKWONAGO,WI,53121,730 PERKINS DRIVE,MUKWONAGO,WI,53121,sbrahm@m2m-machining.com,2626794600,0
A,3050836,C,YIN USA INC,,,,,,,,548 FOREST CENTER PLZ,GARLAND,TX,75042,548 FOREST CENTER PLZ,GARLAND,AF,75042,DANIEL@YINGROUP.COM,2149603832,0
A,3070420,C,PPS BROS SERVICES LLC,,,,,,,,2302 MAXFIELD LN,CARROLLTON,TX,75006,2302 MAXFIELD LN,CARROLLTON,TX,75006,cadoli@cadolimultiservices.com,4696470100,0
A,3093229,C,CORNELL EXPRESS LOGISTICS INC,,MC,73125,,,,,325 MARKUS CT STE F,NEWARK,DE,19713,325 MARKUS CT STE F,NEWARK,DE,19713,CORNELLEXPRESS5@GMAIL.COM,7183144128,1
A,528202,C,BAMA BUDWEISER OF ANNISTON INC,,,,,,,,P O BOX 1601,ANNISTON,AL,36202-1601,1609 FRANK AKERS ROAD,ANNISTON,AL,36207,bfreeman@bamabud-ann.com,2568317754,2
A,531588,C,BASIC SERVICE TRUCKING INC,,MC,265819,,,,,P O BOX 147,MARENGO,IL,60152-0147,21606 W RAILROAD,MARENGO,IL,60152,,8155687225,0
A,730536,C,CHARLES E CRADDOCK,CHARLES CRADDOCK TRUCKING,,,,,,,P O BOX 269,VINTON,IA,52349,104 SOUTH R AVE,VINTON,IA,52349,,3194722993,0
A,789711,C,STANDING BAR G PRODUCTION INC,,,,,,,,9233 DEEP CREEK RD,APPLE VALLEY,CA,92308,9233 DEEP CREEK RD,AV,CA,92308,earlcattle@gmail.com,7605599668,3
A,819166,C,PAUL DEAKINS,PAULS TRUCKING,MC,362825,,,,,40 CYPRESS CREEK PKWY #287,HOUSTON,TX,77090,40 CYPRESS CREEK PKWY #287,HOUSTON,TX,77090,truckersinfo@tbsokc.com,9046551565,0
A,1332590,C,DUMP ON US RECYCLERS INC,,,,,,,,214 SPRINGS FIREPLACE RD,E HAMPTON,NY,11937,214 SPRINGS FIREPLACE RD,E HAMPTON,NY,11937,,6319070069,2
